"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-01-01 00:15";98.11;"A";4213.73;"A";29.58;"A";20.54;"A";18.09;"A";8.62;"A";60.01;"A";15;"A";2.43;"A";82.59;"A";1020.98;"A";10;"A";5;"A";5;"A";247;"A";0.67;"A";333.33;"A"
"2025-01-01 00:30";98.11;"A";4213.73;"A";30.92;"A";21.46;"A";18.9;"A";8.53;"A";60;"A";15;"A";2.3;"A";82.78;"A";1020.79;"A";10;"A";5;"A";5;"A";258;"A";0.67;"A";336.67;"A"
"2025-01-01 00:45";98.1;"A";4213.8;"A";31.68;"A";21.98;"A";19.36;"A";8.42;"A";60;"A";15;"A";2.14;"A";83.02;"A";1020.76;"A";10;"A";5;"A";5;"A";253;"A";1;"A";340;"A"
"2025-01-01 01:00";98.1;"A";4213.8;"A";31.21;"A";21.66;"A";19.08;"A";8.38;"A";60.03;"A";15;"A";2.09;"A";83.26;"A";1020.86;"A";10;"A";5;"A";5;"A";243;"A";1;"A";340;"A"
"2025-01-01 01:15";98.1;"A";4213.73;"A";32.84;"A";22.77;"A";20.06;"A";8.4;"A";59.98;"A";15;"A";2.14;"A";83.1;"A";1021;"A";10;"A";5;"A";5;"A";243;"A";0.67;"A";333.33;"A"
"2025-01-01 01:30";98.1;"A";4213.8;"A";32.96;"A";22.86;"A";20.13;"A";8.39;"A";60;"A";15;"A";2.17;"A";82.87;"A";1020.9;"A";10;"A";4;"A";5;"A";246;"A";1;"A";336.67;"A"
"2025-01-01 01:45";98.1;"A";4213.87;"A";32.99;"A";22.88;"A";20.15;"A";8.37;"A";59.99;"A";15;"A";2.15;"A";82.81;"A";1020.98;"A";10;"A";4;"A";5;"A";245;"A";0.67;"A";346.67;"A"
"2025-01-01 02:00";98.1;"A";4213.8;"A";33.09;"A";22.95;"A";20.21;"A";8.38;"A";60.01;"A";15;"A";2.13;"A";83.03;"A";1021;"A";11;"A";5;"A";5;"A";245;"A";0.67;"A";326.67;"A"
"2025-01-01 02:15";98.1;"A";4213.73;"A";32.8;"A";22.75;"A";20.03;"A";8.35;"A";60;"A";15;"A";2.06;"A";83.28;"A";1020.95;"A";10;"A";5;"A";5;"A";243;"A";0;"A";300;"A"
"2025-01-01 02:30";98.1;"A";4213.67;"A";31.01;"A";21.52;"A";18.95;"A";8.4;"A";59.96;"A";14;"A";1.98;"A";83.6;"A";1020.94;"A";9;"A";5;"A";5;"A";237;"A";0;"A";276.67;"A"
"2025-01-01 02:45";98.1;"A";4213.6;"A";32.36;"A";22.45;"A";19.77;"A";8.3;"A";60.01;"A";15;"A";1.93;"A";83.47;"A";1021.08;"A";11;"A";4;"A";5;"A";242;"A";0.33;"A";320;"A"
"2025-01-01 03:00";98.1;"A";4213.73;"A";33.05;"A";22.92;"A";20.18;"A";8.26;"A";59.96;"A";13;"A";1.77;"A";84.36;"A";1020.96;"A";9;"A";5;"A";4;"A";245;"A";0;"A";200;"A"
"2025-01-01 03:15";98.1;"A";4213.8;"A";33.74;"A";23.39;"A";20.6;"A";8.11;"A";60;"A";12;"A";1.47;"A";84.75;"A";1020.9;"A";7;"A";5;"A";5;"A";243;"A";0;"A";246.67;"A"
