Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
01.02.2025 00:15;96.03;A;4212.8;A;4213.33;A;88;A;60.61;A;53.38;A;17.51;A;59.98;A;14;A;9.45;A;89.85;A;1019.9;A;4;A;5;A;10;A;257;A;0;A;190;A
01.02.2025 00:30;96.03;A;4213;A;4214;A;93.38;A;64.31;A;56.64;A;17.51;A;60;A;16;A;9.51;A;89.56;A;1019.88;A;3;A;5;A;12;A;276;A;0;A;220;A
01.02.2025 00:45;96.03;A;4212.87;A;4213.2;A;97.62;A;67.21;A;59.19;A;17.53;A;59.98;A;16;A;9.53;A;89.54;A;1019.91;A;2;A;5;A;14;A;291;A;0;A;226.67;A
01.02.2025 01:00;96.03;A;4212.73;A;4213.6;A;97.05;A;66.82;A;58.85;A;17.52;A;60.01;A;16;A;9.55;A;89.42;A;1019.91;A;2;A;5;A;14;A;304;A;0;A;226.67;A
01.02.2025 01:15;96.03;A;4212.8;A;4213.27;A;94.15;A;64.84;A;57.1;A;17.52;A;59.99;A;15;A;9.51;A;89.58;A;1020.03;A;2;A;5;A;14;A;310;A;0;A;183.33;A
01.02.2025 01:30;96.03;A;4212.87;A;4213.67;A;90.28;A;62.18;A;54.76;A;17.46;A;60;A;14;A;9.45;A;89.54;A;1019.87;A;1;A;6;A;13;A;288;A;0;A;163.33;A
01.02.2025 01:45;96.03;A;4212.87;A;4213.27;A;85.07;A;58.61;A;51.62;A;17.45;A;60;A;14;A;9.5;A;89.41;A;1019.84;A;2;A;6;A;12;A;272;A;0;A;140;A
01.02.2025 02:00;96.03;A;4212.87;A;4213.53;A;79.11;A;54.52;A;48.01;A;17.44;A;59.98;A;14;A;9.56;A;88.99;A;1019.87;A;3;A;5;A;11;A;255;A;0.33;A;160;A
01.02.2025 02:15;96.03;A;4212.87;A;4213.33;A;74.91;A;51.63;A;45.47;A;17.39;A;59.97;A;15;A;9.54;A;88.77;A;1019.78;A;4;A;5;A;12;A;233;A;0.33;A;140;A
