"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-10-01 00:15";;"N";;"N";;"N";8.82;"A";5.47;"A";3.81;"A";18.16;"A";42.97;"A";26;"A";11.47;"A";54.16;"A";1018.01;"A";12;"A";1;"A";14;"A";111;"A";0.33;"A";20;"A"
"2025-10-01 00:30";;"N";;"N";;"N";10.97;"A";6.09;"A";4.24;"A";18.14;"A";43.91;"A";25;"A";11.42;"A";55.67;"A";1017.87;"A";12;"A";1;"A";13;"A";111;"A";0.33;"A";33.33;"A"
"2025-10-01 00:45";;"N";;"N";;"N";10.31;"A";6.31;"A";4.24;"A";18.09;"A";44.92;"A";25;"A";11.28;"A";57.35;"A";1017.8;"A";11;"A";1;"A";13;"A";119;"A";0.33;"A";16.67;"A"
"2025-10-01 01:00";;"N";;"N";;"N";9.15;"A";5.4;"A";3.73;"A";18;"A";46.68;"A";24;"A";11.07;"A";60.52;"A";1017.78;"A";12;"A";1;"A";13;"A";120;"A";1;"A";66.67;"A"
"2025-10-01 01:15";;"N";;"N";;"N";7.04;"A";4.46;"A";3.27;"A";17.8;"A";48.11;"A";25;"A";10.7;"A";62.48;"A";1017.63;"A";12;"A";2;"A";13;"A";;"N";0.67;"A";20;"A"
"2025-10-01 01:30";;"N";;"N";;"N";8.33;"A";4.38;"A";2.99;"A";17.5;"A";49.12;"A";25;"A";10.46;"A";63.67;"A";1017.61;"A";13;"A";1;"A";12;"A";89;"A";0.33;"A";93.33;"A"
"2025-10-01 01:45";;"N";;"N";;"N";7.91;"A";4.54;"A";3.06;"A";17.28;"A";50.21;"A";25;"A";10.3;"A";65.17;"A";1017.54;"A";13;"A";1;"A";12;"A";88;"A";0.33;"A";73.33;"A"
"2025-10-01 02:00";;"N";;"N";;"N";7.02;"A";4.59;"A";3.26;"A";17.09;"A";51.6;"A";24;"A";10.11;"A";66.68;"A";1017.58;"A";12;"A";1;"A";11;"A";89;"A";0.33;"A";60;"A"
"2025-10-01 02:15";;"N";;"N";;"N";7.93;"A";5.04;"A";3.45;"A";16.92;"A";52.23;"A";24;"A";9.98;"A";67.47;"A";1017.4;"A";12;"A";1;"A";11;"A";90;"A";0.33;"A";60;"A"
"2025-10-01 02:30";;"N";;"N";;"N";8.75;"A";4.97;"A";3.47;"A";16.79;"A";52.85;"A";23;"A";9.89;"A";68.09;"A";1017.35;"A";12;"A";1;"A";11;"A";93;"A";0.67;"A";13.33;"A"
"2025-10-01 02:45";;"N";;"N";;"N";9.08;"A";6.06;"A";4.21;"A";16.64;"A";53.71;"A";22;"A";9.74;"A";69.52;"A";1017.26;"A";11;"A";1;"A";12;"A";111;"A";0;"A";73.33;"A"
"2025-10-01 03:00";;"N";;"N";;"N";10.18;"A";6.53;"A";4.63;"A";16.49;"A";54.79;"A";22;"A";9.61;"A";70.84;"A";1017.12;"A";10;"A";2;"A";12;"A";119;"A";0.33;"A";76.67;"A"
"2025-10-01 03:15";;"N";;"N";;"N";11.12;"A";6.63;"A";4.47;"A";16.36;"A";55.72;"A";21;"A";9.55;"A";71.58;"A";1017.11;"A";10;"A";2;"A";11;"A";111;"A";0;"A";43.33;"A"
"2025-10-01 03:30";;"N";;"N";;"N";12.27;"A";6.43;"A";4.36;"A";16.21;"A";56.03;"A";21;"A";9.54;"A";71.26;"A";1017.12;"A";10;"A";1;"A";11;"A";105;"A";0;"A";60;"A"
"2025-10-01 03:45";;"N";;"N";;"N";11.89;"A";5.98;"A";4.32;"A";16.18;"A";55.09;"A";21;"A";9.63;"A";69.63;"A";1016.97;"A";11;"A";1;"A";10;"A";96;"A";0.67;"A";96.67;"A"
"2025-10-01 04:00";;"N";;"N";;"N";13.77;"A";6.37;"A";4.2;"A";16.24;"A";54.95;"A";22;"A";9.66;"A";69.99;"A";1016.78;"A";10;"A";1;"A";12;"A";95;"A";0;"A";86.67;"A"
"2025-10-01 04:15";;"N";;"N";;"N";11.44;"A";6.1;"A";4.08;"A";16.28;"A";54.86;"A";21;"A";9.68;"A";68.7;"A";1016.71;"A";10;"A";1;"A";11;"A";94;"A";0;"A";63.33;"A"
"2025-10-01 04:30";;"N";;"N";;"N";11.78;"A";5.55;"A";4.06;"A";16.34;"A";53.29;"A";22;"A";9.88;"A";66.9;"A";1016.6;"A";10;"A";1;"A";11;"A";89;"A";0.33;"A";46.67;"A"
"2025-10-01 04:45";;"N";;"N";;"N";10.94;"A";5.94;"A";4.04;"A";16.46;"A";52.59;"A";23;"A";9.94;"A";66.18;"A";1016.49;"A";11;"A";1;"A";12;"A";93;"A";0;"A";56.67;"A"
"2025-10-01 05:00";;"N";;"N";;"N";11.53;"A";5.78;"A";4.09;"A";16.57;"A";52;"A";22;"A";9.96;"A";65.47;"A";1016.35;"A";10;"A";1;"A";12;"A";107;"A";0.33;"A";96.67;"A"
"2025-10-01 05:15";;"N";;"N";;"N";11.1;"A";6.31;"A";4.19;"A";16.6;"A";51.96;"A";22;"A";9.93;"A";66.08;"A";1016.28;"A";10;"A";1;"A";12;"A";114;"A";0;"A";23.33;"A"
"2025-10-01 05:30";;"N";;"N";;"N";11.28;"A";6.43;"A";4.35;"A";16.63;"A";52.06;"A";21;"A";9.96;"A";65.82;"A";1016.39;"A";7;"A";1;"A";14;"A";;"N";0.33;"A";66.67;"A"
"2025-10-01 05:45";;"N";;"N";;"N";13.46;"A";6.51;"A";4.51;"A";16.64;"A";51.47;"A";21;"A";9.98;"A";65.26;"A";1016.32;"A";6;"A";1;"A";16;"A";113;"A";0.67;"A";150;"A"
"2025-10-01 06:00";;"N";;"N";;"N";13.01;"A";7.13;"A";4.44;"A";16.65;"A";50.61;"A";21;"A";10.01;"A";62.9;"A";1016.32;"A";6;"A";1;"A";15;"A";110;"A";0;"A";90;"A"
"2025-10-01 06:15";;"N";;"N";;"N";12.08;"A";6.14;"A";4.06;"A";16.7;"A";49;"A";21;"A";10.15;"A";60.42;"A";1016.45;"A";8;"A";1;"A";13;"A";107;"A";0;"A";63.33;"A"
"2025-10-01 06:30";;"N";;"N";;"N";12.59;"A";6.65;"A";4.25;"A";16.79;"A";47.09;"A";22;"A";10.28;"A";57.95;"A";1016.4;"A";9;"A";1;"A";13;"A";109;"A";0.67;"A";26.67;"A"
"2025-10-01 06:45";;"N";;"N";;"N";14.01;"A";7.12;"A";4.56;"A";16.87;"A";46.27;"A";22;"A";10.27;"A";58.38;"A";1016.38;"A";8;"A";1;"A";15;"A";113;"A";0;"A";56.67;"A"
"2025-10-01 07:00";;"N";;"N";;"N";12.51;"A";6.42;"A";4.49;"A";16.91;"A";46.32;"A";22;"A";10.19;"A";58.21;"A";1016.36;"A";7;"A";1;"A";15;"A";113;"A";0.33;"A";53.33;"A"
"2025-10-01 07:15";;"N";;"N";;"N";10.55;"A";6.28;"A";4.35;"A";16.9;"A";45.98;"A";21;"A";10.15;"A";58.55;"A";1016.38;"A";8;"A";1;"A";13;"A";114;"A";0.33;"A";96.67;"A"
"2025-10-01 07:30";;"N";;"N";;"N";12.34;"A";6.62;"A";4.36;"A";16.89;"A";46.05;"A";22;"A";10.08;"A";58.42;"A";1016.51;"A";9;"A";2;"A";13;"A";115;"A";0.67;"A";16.67;"A"
"2025-10-01 07:45";;"N";;"N";;"N";12.64;"A";6.45;"A";4.16;"A";16.8;"A";46.05;"A";21;"A";9.94;"A";58.14;"A";1016.58;"A";8;"A";1;"A";13;"A";119;"A";0.33;"A";116.67;"A"
"2025-10-01 08:00";;"N";;"N";;"N";12.19;"A";6.24;"A";4.12;"A";16.74;"A";46.09;"A";22;"A";9.79;"A";59.21;"A";1016.9;"A";8;"A";2;"A";14;"A";126;"A";0.67;"A";20;"A"
"2025-10-01 08:15";;"N";;"N";;"N";13.25;"A";6.62;"A";4.64;"A";16.57;"A";46.94;"A";22;"A";9.54;"A";61.51;"A";1016.95;"A";8;"A";;"N";15;"A";139;"A";0.67;"A";23.33;"A"
"2025-10-01 08:30";;"N";;"N";;"N";11.07;"A";6.11;"A";4.29;"A";16.31;"A";48.5;"A";22;"A";9.38;"A";63.3;"A";1017.14;"A";8;"A";;"N";14;"A";126;"A";1.33;"A";53.33;"A"
"2025-10-01 08:45";;"N";;"N";;"N";11.46;"A";6.52;"A";4.4;"A";16.03;"A";50.22;"A";21;"A";9.15;"A";65.92;"A";1017.1;"A";7;"A";2;"A";14;"A";131;"A";0.33;"A";33.33;"A"
"2025-10-01 09:00";;"N";;"N";;"N";11.27;"A";5.51;"A";4.06;"A";15.83;"A";51.97;"A";21;"A";8.95;"A";68.2;"A";1017.13;"A";7;"A";2;"A";14;"A";134;"A";0.33;"A";23.33;"A"
"2025-10-01 09:15";;"N";;"N";;"N";10.51;"A";6.23;"A";4.34;"A";15.59;"A";53.79;"A";21;"A";8.65;"A";71.64;"A";1017.03;"A";6;"A";2;"A";15;"A";130;"A";0.67;"A";30;"A"
"2025-10-01 09:30";;"N";;"N";;"N";13.9;"A";7.76;"A";5.18;"A";15.29;"A";57;"A";20;"A";8.17;"A";75.57;"A";1017.19;"A";6;"A";3;"A";14;"A";130;"A";0.33;"A";83.33;"A"
"2025-10-01 09:45";;"N";;"N";;"N";10.46;"A";7.11;"A";4.86;"A";14.95;"A";59.37;"A";19;"A";7.84;"A";79.22;"A";1017.19;"A";7;"A";3;"A";12;"A";125;"A";0.67;"A";50;"A"
"2025-10-01 10:00";;"N";;"N";;"N";7.91;"A";5.67;"A";5;"A";14.99;"A";60.1;"A";18;"A";7.73;"A";79.99;"A";1017.12;"A";6;"A";2;"A";13;"A";130;"A";0.67;"A";40;"A"
"2025-10-01 10:15";;"N";;"N";;"N";8.61;"A";6.15;"A";5.42;"A";15.25;"A";59.99;"A";18;"A";7.79;"A";80.69;"A";1017.04;"A";6;"A";2;"A";12;"A";131;"A";0.33;"A";50;"A"
"2025-10-01 10:30";;"N";;"N";;"N";8.64;"A";6.18;"A";5.44;"A";15.3;"A";60.08;"A";18;"A";7.88;"A";80.61;"A";1016.96;"A";6;"A";2;"A";12;"A";129;"A";0.67;"A";33.33;"A"
"2025-10-01 10:45";;"N";;"N";;"N";9.36;"A";6.66;"A";5.87;"A";15.43;"A";59.94;"A";18;"A";8.19;"A";79.26;"A";1016.87;"A";7;"A";2;"A";10;"A";131;"A";0.33;"A";43.33;"A"
"2025-10-01 11:00";;"N";;"N";;"N";11.42;"A";7.95;"A";6.72;"A";15.36;"A";59.82;"A";18;"A";8.39;"A";77.49;"A";1016.85;"A";6;"A";1;"A";12;"A";133;"A";0.67;"A";10;"A"
"2025-10-01 11:15";;"N";;"N";;"N";9.36;"A";6.6;"A";5.74;"A";15.33;"A";59.96;"A";19;"A";8.8;"A";76.77;"A";1016.89;"A";7;"A";1;"A";12;"A";141;"A";0.67;"A";13.33;"A"
"2025-10-01 11:30";;"N";;"N";;"N";12.01;"A";8.24;"A";5.97;"A";15.41;"A";59.51;"A";18;"A";9.14;"A";74.35;"A";1016.74;"A";7;"A";1;"A";11;"A";140;"A";0.67;"A";16.67;"A"
"2025-10-01 11:45";;"N";;"N";;"N";12.46;"A";7.9;"A";5.62;"A";15.71;"A";57.6;"A";18;"A";9.41;"A";71.62;"A";1016.7;"A";8;"A";1;"A";11;"A";141;"A";0.33;"A";66.67;"A"
"2025-10-01 12:00";;"N";;"N";;"N";12.12;"A";8.59;"A";5.75;"A";15.95;"A";56.03;"A";20;"A";9.55;"A";70.85;"A";1016.64;"A";7;"A";1;"A";13;"A";143;"A";0.33;"A";66.67;"A"
"2025-10-01 12:15";;"N";;"N";;"N";13.2;"A";8.28;"A";5.56;"A";16.17;"A";55.59;"A";;"N";9.73;"A";70.42;"A";1016.54;"A";;"N";2;"A";11;"A";150;"A";0.67;"A";66.67;"A"
"2025-10-01 12:30";;"N";;"N";;"N";14.97;"A";8.43;"A";5.83;"A";16.38;"A";55.19;"A";19;"A";9.78;"A";69.86;"A";1016.52;"A";7;"A";1;"A";11;"A";154;"A";0;"A";26.67;"A"
"2025-10-01 12:45";;"N";;"N";;"N";12.44;"A";8.08;"A";5.65;"A";16.47;"A";54.64;"A";20;"A";9.75;"A";70.24;"A";1016.39;"A";7;"A";2;"A";13;"A";156;"A";0.33;"A";23.33;"A"
"2025-10-01 13:00";;"N";;"N";;"N";12.83;"A";8.57;"A";5.94;"A";16.48;"A";55.97;"A";20;"A";9.56;"A";73.55;"A";1016.38;"A";7;"A";3;"A";13;"A";163;"A";1;"A";13.33;"A"
"2025-10-01 13:15";;"N";;"N";;"N";13.65;"A";9.22;"A";6.22;"A";16.27;"A";58.63;"A";17;"A";9.3;"A";76.25;"A";1016.27;"A";6;"A";3;"A";11;"A";170;"A";0;"A";96.67;"A"
"2025-10-01 13:30";;"N";;"N";;"N";13.85;"A";8.89;"A";6.55;"A";16.03;"A";59.61;"A";18;"A";9.01;"A";78.35;"A";1016.33;"A";6;"A";3;"A";13;"A";161;"A";0.67;"A";43.33;"A"
"2025-10-01 13:45";;"N";;"N";;"N";11.89;"A";8.15;"A";6.82;"A";16.09;"A";59.86;"A";17;"A";8.94;"A";77.89;"A";1016.41;"A";;"N";2;"A";;"N";152;"A";0;"A";80;"A"
"2025-10-01 14:00";;"N";;"N";;"N";13.69;"A";9.21;"A";7.49;"A";15.88;"A";59.9;"A";19;"A";9.3;"A";76.96;"A";1016.33;"A";6;"A";2;"A";13;"A";161;"A";0;"A";40;"A"
