
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-08-01 00:00";8.53;"A";7.11;"A";5.32;"A";30.02;"A";36.33;"A";99.85;"A";4195.67;"A";4209.33;"A";22.36;"A";49.01;"A";997.61;"A";103;"A";27;"A";9;"A";0;"A";17;"A"
"2025-08-01 00:15";8.92;"A";7.05;"A";5.02;"A";29.76;"A";36.86;"A";99.91;"A";4196.33;"A";4209.47;"A";22.23;"A";49.45;"A";997.6;"A";92;"A";27;"A";14;"A";0;"A";13;"A"
"2025-08-01 00:30";8.19;"A";6.75;"A";5;"A";29.54;"A";37.35;"A";99.88;"A";4174;"A";4184.47;"A";21.99;"A";50.28;"A";997.62;"A";88;"A";26;"A";16;"A";0;"A";11;"A"
"2025-08-01 00:45";8.89;"A";6.86;"A";4.92;"A";29.32;"A";37.77;"A";99.8;"A";4195.47;"A";4209;"A";21.84;"A";50.68;"A";997.81;"A";85;"A";26;"A";14;"A";0;"A";13;"A"
"2025-08-01 01:00";10.49;"A";7.86;"A";5.73;"A";29.12;"A";38.2;"A";99.87;"A";4185.2;"A";4196.6;"A";21.75;"A";50.95;"A";997.81;"A";80;"A";26;"A";12;"A";0;"A";14;"A"
"2025-08-01 01:15";9.38;"A";7.36;"A";5.34;"A";28.98;"A";38.68;"A";99.76;"A";4182.73;"A";4195;"A";21.64;"A";51.55;"A";997.79;"A";82;"A";26;"A";11;"A";0;"A";14;"A"
"2025-08-01 01:30";10.09;"A";7.48;"A";5.46;"A";28.83;"A";39.26;"A";99.83;"A";4195.6;"A";4208.93;"A";21.37;"A";52.7;"A";997.83;"A";86;"A";24;"A";11;"A";0;"A";13;"A"
"2025-08-01 01:45";8.46;"A";7.24;"A";5.3;"A";28.67;"A";39.93;"A";99.9;"A";4195.87;"A";4209.2;"A";21.13;"A";53.89;"A";997.78;"A";92;"A";25;"A";13;"A";0;"A";12;"A"
"2025-08-01 02:00";9.8;"A";7.46;"A";5.19;"A";28.45;"A";40.56;"A";99.82;"A";4170;"A";4180.33;"A";21.08;"A";54.43;"A";997.82;"A";94;"A";24;"A";12;"A";0;"A";13;"A"
"2025-08-01 02:15";9.05;"A";7.57;"A";5.28;"A";28.31;"A";41.12;"A";99.76;"A";4195.27;"A";4209.6;"A";20.94;"A";55.05;"A";997.79;"A";90;"A";24;"A";11;"A";0;"A";13;"A"
"2025-08-01 02:30";9.58;"A";7.31;"A";5.24;"A";28.18;"A";41.53;"A";99.85;"A";4195.67;"A";4209.47;"A";20.85;"A";55.58;"A";997.76;"A";85;"A";23;"A";9;"A";1;"A";14;"A"
"2025-08-01 02:45";8.42;"A";6.74;"A";5.06;"A";28.06;"A";41.92;"A";99.92;"A";4196.27;"A";4209.67;"A";20.68;"A";56.2;"A";997.72;"A";83;"A";23;"A";9;"A";1;"A";14;"A"
"2025-08-01 03:00";9.6;"A";7.22;"A";5.28;"A";27.92;"A";42.32;"A";99.87;"A";4182.87;"A";4194.47;"A";20.55;"A";56.85;"A";997.69;"A";82;"A";23;"A";9;"A";0;"A";14;"A"
"2025-08-01 03:15";9.13;"A";6.82;"A";5.16;"A";27.78;"A";42.75;"A";99.89;"A";4195.87;"A";4209.27;"A";20.34;"A";57.67;"A";997.7;"A";81;"A";23;"A";9;"A";1;"A";13;"A"
"2025-08-01 03:30";9.05;"A";6.92;"A";5.15;"A";27.61;"A";43.24;"A";99.95;"A";4196.8;"A";4209.8;"A";20.12;"A";58.57;"A";997.67;"A";77;"A";22;"A";8;"A";1;"A";14;"A"
