"timestamp";"TC~T-QM[Cairnet CXM24280940]";"in °C";"HR~T-QM[Cairnet CXM24280940]";"in %";"PA~T-QM[Cairnet CXM24280940]";"in hPa";"CO~4672-QM[Cairnet CXM24280940]";"in ppb";"O3-NO2~4694-QM[Cairnet CXM24280940]";"in ppb";"SO2~4715-QM[Cairnet CXM24280940]";"in ppb";"NO2~4581-QM[Cairnet CXM24280940]";"in ppb";"O3~0940-QM[Cairnet CXM24280940]";"in ppb";"PM10~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM2.5~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM1~D641-QM[Cairnet CXM24280940]";"in µg/m3"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-05-01 00:15";15.57;"A";45.56;"A";1007.62;"A";59;"A";35;"A";0;"A";9;"A";26;"A";19.07;"A";10.29;"A";7.02;"A"
"2025-05-01 00:30";15.24;"A";46.26;"A";1007.48;"A";51;"A";35;"A";0;"A";8;"A";27;"A";17.6;"A";9.36;"A";6.33;"A"
"2025-05-01 00:45";14.84;"A";47.46;"A";1007.37;"A";50;"A";34;"A";0;"A";9;"A";25;"A";12.29;"A";7.33;"A";4.98;"A"
"2025-05-01 01:00";14.34;"A";49.36;"A";1007.23;"A";51;"A";33;"A";0;"A";9;"A";24;"A";13.31;"A";7.23;"A";4.73;"A"
"2025-05-01 01:15";13.78;"A";51.21;"A";1007.14;"A";48;"A";33;"A";0;"A";8;"A";25;"A";13.21;"A";6.88;"A";4.33;"A"
"2025-05-01 01:30";13.39;"A";52.53;"A";1006.91;"A";48;"A";32;"A";0;"A";8;"A";24;"A";13.41;"A";6.8;"A";4.5;"A"
"2025-05-01 01:45";13.02;"A";54.01;"A";1006.8;"A";49;"A";31;"A";0;"A";8;"A";23;"A";15.53;"A";8.03;"A";5.12;"A"
"2025-05-01 02:00";12.96;"A";54.01;"A";1006.8;"A";50;"A";31;"A";0;"A";8;"A";23;"A";16.54;"A";8.58;"A";5.44;"A"
"2025-05-01 02:15";12.58;"A";55.45;"A";1006.92;"A";45;"A";31;"A";0;"A";7;"A";23;"A";14.03;"A";7.53;"A";4.66;"A"
"2025-05-01 02:30";12.42;"A";55.6;"A";1006.91;"A";41;"A";30;"A";0;"A";7;"A";23;"A";11.96;"A";6.94;"A";4.71;"A"
"2025-05-01 02:45";12.36;"A";55.58;"A";1006.7;"A";39;"A";30;"A";0;"A";8;"A";22;"A";15.94;"A";7.17;"A";4.92;"A"
"2025-05-01 03:00";12.33;"A";55.95;"A";1006.71;"A";51;"A";30;"A";0;"A";7;"A";23;"A";23.55;"A";14.58;"A";9.98;"A"
