timestamp;TC~T-QM[Cairnet CXM24280940];in °C;HR~T-QM[Cairnet CXM24280940];in %;PA~T-QM[Cairnet CXM24280940];in hPa;CO~4672-QM[Cairnet CXM24280940];in ppb;O3-NO2~4694-QM[Cairnet CXM24280940];in ppb;SO2~4715-QM[Cairnet CXM24280940];in ppb;NO2~4581-QM[Cairnet CXM24280940];in ppb;O3~0940-QM[Cairnet CXM24280940];in ppb;PM10~D641-QM[Cairnet CXM24280940];in µg/m3;PM2.5~D641-QM[Cairnet CXM24280940];in µg/m3;PM1~D641-QM[Cairnet CXM24280940];in µg/m3
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
01.10.2025 00:15;10.94;A;57.47;A;1012.76;A;43;A;33;A;0;A;18;A;15;A;10.1;A;6.12;A;4.25;A
01.10.2025 00:30;11;A;57.71;A;1012.77;A;45;A;32;A;0;A;17;A;15;A;8.78;A;5.91;A;4.65;A
01.10.2025 00:45;10.96;A;59.82;A;1012.69;A;52;A;33;A;0;A;17;A;15;A;9.19;A;5.99;A;4.35;A
01.10.2025 01:00;10.8;A;62.84;A;1012.72;A;48;A;32;A;0;A;17;A;15;A;8.2;A;5.54;A;4.04;A
01.10.2025 01:15;10.63;A;64.33;A;1012.71;A;37;A;32;A;0;A;17;A;16;A;8.05;A;4.71;A;3.33;A
01.10.2025 01:30;10.52;A;64.82;A;1012.55;A;31;A;32;A;0;A;17;A;15;A;7.51;A;4.53;A;3.16;A
01.10.2025 01:45;10.39;A;66.42;A;1012.43;A;28;A;32;A;0;A;17;A;15;A;6.94;A;4.52;A;3.22;A
01.10.2025 02:00;10.21;A;67.58;A;1012.32;A;30;A;31;A;0;A;16;A;15;A;8.49;A;4.97;A;3.5;A
01.10.2025 02:15;10.08;A;67.41;A;1012.4;A;29;A;32;A;0;A;17;A;15;A;7.62;A;4.9;A;3.67;A
01.10.2025 02:30;9.98;A;68.13;A;1012.2;A;33;A;31;A;0;A;16;A;15;A;7.57;A;5.38;A;3.96;A
01.10.2025 02:45;9.82;A;70.13;A;1012.08;A;47;A;31;A;0;A;18;A;14;A;9.47;A;5.93;A;4.5;A
01.10.2025 03:00;9.66;A;71.51;A;1012.05;A;48;A;29;A;0;A;16;A;13;A;10.38;A;6.53;A;4.68;A
01.10.2025 03:15;9.61;A;70.95;A;1012.01;A;42;A;29;A;0;A;15;A;13;A;10.39;A;6.2;A;4.67;A
01.10.2025 03:30;9.61;A;70.95;A;1012.03;A;35;A;30;A;0;A;16;A;13;A;9.87;A;6.03;A;4.65;A
01.10.2025 03:45;9.62;A;70.05;A;1011.82;A;30;A;30;A;0;A;17;A;13;A;9.67;A;6.15;A;4.21;A
01.10.2025 04:00;9.53;A;71.65;A;1011.74;A;30;A;30;A;0;A;16;A;13;A;9.01;A;5.95;A;4.19;A
01.10.2025 04:15;9.55;A;70.63;A;1011.69;A;28;A;29;A;0;A;14;A;15;A;9.53;A;5.81;A;4.33;A
