Березень_ПОСТ2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";Температура модуля PM (внутрішня), °C;"QC (температура модуля)
";"Відносна вологість модуля PM (внутрішня), %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря (зовнішня)
";"QC (температура повітря)
";"Відносна вологість повітря (зовнішня), %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
01.03.2025 00:15;94.58;A;4213.87;A;4212.8;A;71.88;A;55.35;A;38.41;A;4.16;A;50.14;A;29;A;-1.46;A;66.65;A;1024.87;A;21;A;0;A;8;A;158;A;0;A;130;A
01.03.2025 00:30;94.59;A;4213.73;A;4212.53;A;82.31;A;62.81;A;42.3;A;3.96;A;52.03;A;30;A;-1.59;A;69.79;A;1025.05;A;19;A;0;A;11;A;418;A;0;A;273.33;A
01.03.2025 00:45;94.59;A;4214;A;4212.8;A;85.75;A;65.99;A;45.5;A;3.78;A;53.85;A;29;A;-1.81;A;71.67;A;1025.12;A;19;A;0;A;9;A;369;A;0;A;230;A
01.03.2025 01:00;94.42;A;4184.07;A;4178.93;A;83.97;A;64.54;A;44.24;A;3.6;A;54.53;A;28;A;-2;A;72.6;A;1025.1;A;18;A;1;A;9;A;370;A;0;A;240;A
01.03.2025 01:15;94.36;A;4211.53;A;4211.53;A;89.46;A;69.74;A;46.25;A;3.36;A;55.37;A;27;A;-2.27;A;74.43;A;1025.21;A;18;A;0;A;8;A;320;A;0;A;233.33;A
01.03.2025 01:30;94.44;A;4212.47;A;4211.67;A;103.66;A;80.46;A;53.41;A;3.14;A;57.13;A;27;A;-2.52;A;77.51;A;1025.3;A;15;A;1;A;12;A;582;A;0;A;170;A
01.03.2025 01:45;94.49;A;4212.67;A;4211.67;A;117.06;A;90.33;A;60.08;A;2.94;A;58.78;A;26;A;-2.68;A;78.97;A;1025.39;A;13;A;1;A;13;A;633;A;0;A;106.67;A
01.03.2025 02:00;94.52;A;4213.13;A;4212.13;A;101.08;A;77.71;A;51.85;A;2.73;A;59.44;A;26;A;-3.02;A;80.2;A;1025.24;A;16;A;0;A;10;A;308;A;0;A;323.33;A
01.03.2025 02:15;94.54;A;4213.8;A;4212.4;A;111.71;A;83.52;A;60.87;A;2.51;A;59.89;A;26;A;-3.28;A;81.52;A;1025.29;A;14;A;1;A;12;A;537;A;0.33;A;133.33;A
01.03.2025 02:30;94.56;A;4213.73;A;4212.67;A;97.45;A;67.1;A;59.09;A;2.7;A;60.06;A;26;A;-3.33;A;83.18;A;1025.26;A;17;A;1;A;9;A;353;A;0;A;160;A
