"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-07-01 00:15";99.93;"A";4193.73;"A";4193.87;"A";9.46;"A";5.86;"A";4;"A";27.16;"A";41.26;"A";27;"A";19.93;"A";52.57;"A";1003.59;"A";22;"A";0;"A";4;"A";113;"A";1;"A";340;"A"
"2025-07-01 00:30";99.72;"A";4198.13;"A";4200.07;"A";9.49;"A";5.39;"A";3.57;"A";26.78;"A";41.89;"A";26;"A";19.68;"A";52.93;"A";1003.47;"A";22;"A";0;"A";4;"A";107;"A";0.67;"A";340;"A"
"2025-07-01 00:45";99.8;"A";4210.27;"A";4213.53;"A";8.56;"A";5.25;"A";3.45;"A";26.46;"A";42.19;"A";27;"A";19.41;"A";53.22;"A";1003.52;"A";23;"A";0;"A";4;"A";102;"A";1;"A";350;"A"
"2025-07-01 01:00";99.88;"A";4211;"A";4214.07;"A";8.45;"A";4.81;"A";3.16;"A";26.16;"A";43.68;"A";27;"A";19.15;"A";55.88;"A";1003.67;"A";23;"A";0;"A";4;"A";105;"A";1;"A";346.67;"A"
"2025-07-01 01:15";99.93;"A";4211.87;"A";4214.93;"A";9.05;"A";5.19;"A";3.21;"A";25.93;"A";44.74;"A";24;"A";19.11;"A";54.67;"A";1003.64;"A";21;"A";0;"A";3;"A";114;"A";0.67;"A";343.33;"A"
"2025-07-01 01:30";99.96;"A";4211.93;"A";4215.47;"A";9.44;"A";5.4;"A";3.71;"A";25.83;"A";42.2;"A";28;"A";19.2;"A";52.03;"A";1003.54;"A";23;"A";0;"A";5;"A";125;"A";1;"A";350;"A"
"2025-07-01 01:45";99.98;"A";4212.47;"A";4214.67;"A";7.47;"A";3.86;"A";2.79;"A";25.76;"A";42.56;"A";27;"A";19.05;"A";52.86;"A";1003.56;"A";22;"A";0;"A";5;"A";102;"A";0.67;"A";340;"A"
"2025-07-01 02:00";99.99;"A";4212.6;"A";4214.93;"A";8.49;"A";4.72;"A";3.2;"A";25.73;"A";42.43;"A";27;"A";19.1;"A";52.29;"A";1003.48;"A";22;"A";0;"A";4;"A";104;"A";1;"A";350;"A"
"2025-07-01 02:15";100;"A";4212.6;"A";4214.8;"A";8.72;"A";5.12;"A";3.17;"A";25.72;"A";42.64;"A";27;"A";19.14;"A";52.59;"A";1003.48;"A";23;"A";0;"A";4;"A";105;"A";1;"A";343.33;"A"
