"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-06-01 00:15";99.95;"A";4212.87;"A";4215.47;"A";14.83;"A";9.73;"A";7.21;"A";26.89;"A";48.74;"A";22;"A";19.91;"A";62.4;"A";1009.98;"A";17;"A";1;"A";5;"A";160;"A";0;"A";106.67;"A"
"2025-06-01 00:30";99.96;"A";4212.6;"A";4214.6;"A";14.91;"A";10.79;"A";7.6;"A";26.56;"A";49.31;"A";23;"A";19.7;"A";63.34;"A";1010.02;"A";18;"A";1;"A";5;"A";172;"A";0;"A";246.67;"A"
"2025-06-01 00:45";99.96;"A";4212.67;"A";4214.93;"A";12.16;"A";8.22;"A";5.89;"A";26.3;"A";49.71;"A";24;"A";19.46;"A";63.64;"A";1010.05;"A";19;"A";1;"A";5;"A";145;"A";0;"A";260;"A"
"2025-06-01 01:00";99.96;"A";4212.67;"A";4214.8;"A";9.93;"A";6.02;"A";4.31;"A";26.05;"A";50.53;"A";25;"A";19.22;"A";64.8;"A";1010.13;"A";20;"A";1;"A";4;"A";115;"A";0;"A";253.33;"A"
"2025-06-01 01:15";99.97;"A";4212.6;"A";4214.33;"A";10.88;"A";6.25;"A";4.4;"A";25.81;"A";51.13;"A";24;"A";19;"A";65.15;"A";1010.13;"A";20;"A";1;"A";4;"A";108;"A";0;"A";250;"A"
"2025-06-01 01:30";99.97;"A";4212.8;"A";4214.93;"A";9.38;"A";6.39;"A";4.58;"A";25.54;"A";51.35;"A";23;"A";18.76;"A";65.73;"A";1009.98;"A";18;"A";1;"A";4;"A";120;"A";0;"A";146.67;"A"
"2025-06-01 01:45";99.97;"A";4212.93;"A";4215.47;"A";8.54;"A";6.46;"A";4.89;"A";25.32;"A";51.16;"A";25;"A";18.51;"A";65.45;"A";1009.9;"A";20;"A";1;"A";4;"A";104;"A";0;"A";240;"A"
"2025-06-01 02:00";99.97;"A";4212.73;"A";4214.53;"A";9.5;"A";6.28;"A";4.61;"A";25.08;"A";51.74;"A";24;"A";18.22;"A";66.89;"A";1009.96;"A";19;"A";1;"A";5;"A";102;"A";0;"A";96.67;"A"
"2025-06-01 02:15";99.97;"A";4212.67;"A";4214.8;"A";9.3;"A";6.34;"A";4.78;"A";24.83;"A";53.4;"A";22;"A";17.92;"A";69.18;"A";1010.12;"A";17;"A";1;"A";5;"A";118;"A";0;"A";333.33;"A"
"2025-06-01 02:30";99.97;"A";4212.67;"A";4214.73;"A";10.91;"A";7.68;"A";5.71;"A";24.57;"A";54.47;"A";21;"A";17.85;"A";69.63;"A";1010.16;"A";16;"A";1;"A";4;"A";153;"A";0;"A";206.67;"A"
"2025-06-01 02:45";99.97;"A";4212.8;"A";4214.73;"A";11.58;"A";8.21;"A";5.96;"A";24.38;"A";55.56;"A";20;"A";17.69;"A";71.16;"A";1010.21;"A";15;"A";1;"A";5;"A";142;"A";0;"A";316.67;"A"
"2025-06-01 03:00";99.84;"A";4188.07;"A";4186.2;"A";12.71;"A";8.11;"A";5.86;"A";24.22;"A";55.03;"A";21;"A";17.55;"A";68.99;"A";1010.11;"A";17;"A";1;"A";4;"A";121;"A";0;"A";260;"A"
