"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-05-01 00:15";10.59;"A";6.28;"A";4.29;"A";23.67;"A";32.15;"A";99.83;"A";4168.47;"A";4172.47;"A";16.42;"A";43.59;"A";1004.88;"A";57;"A";25;"A";12;"A";0;"A";12;"A"
"2025-05-01 00:30";8.68;"A";5.88;"A";4.23;"A";23.3;"A";32.34;"A";99.7;"A";4192.4;"A";4198.73;"A";15.99;"A";44.06;"A";1004.85;"A";48;"A";25;"A";10;"A";0;"A";16;"A"
"2025-05-01 00:45";9.12;"A";5.57;"A";3.78;"A";22.9;"A";32.8;"A";99.8;"A";4195.67;"A";4201;"A";15.55;"A";45.13;"A";1004.66;"A";46;"A";25;"A";8;"A";0;"A";17;"A"
"2025-05-01 01:00";8.32;"A";5.08;"A";3.23;"A";22.49;"A";33.39;"A";99.82;"A";4186.8;"A";4191.8;"A";15.14;"A";46.46;"A";1004.6;"A";42;"A";24;"A";7;"A";0;"A";17;"A"
"2025-05-01 01:15";7.15;"A";4.64;"A";3.16;"A";22.09;"A";34.22;"A";99.85;"A";4196.2;"A";4202.33;"A";14.7;"A";47.97;"A";1004.57;"A";44;"A";22;"A";7;"A";0;"A";16;"A"
"2025-05-01 01:30";7.85;"A";4.55;"A";2.92;"A";21.65;"A";35.1;"A";99.91;"A";4196.73;"A";4202.07;"A";14.32;"A";49.44;"A";1004.37;"A";43;"A";22;"A";6;"A";0;"A";15;"A"
"2025-05-01 01:45";7.15;"A";4.64;"A";2.93;"A";21.24;"A";35.83;"A";99.78;"A";4162.73;"A";4166.2;"A";14;"A";50.32;"A";1004.28;"A";43;"A";21;"A";7;"A";0;"A";14;"A"
"2025-05-01 02:00";7.53;"A";4.54;"A";3.14;"A";20.83;"A";36.5;"A";99.68;"A";4194.6;"A";4200.67;"A";13.73;"A";51.02;"A";1004.18;"A";42;"A";21;"A";7;"A";0;"A";14;"A"
"2025-05-01 02:15";8.19;"A";4.97;"A";3.14;"A";20.44;"A";37.34;"A";99.79;"A";4195.6;"A";4202;"A";13.46;"A";52.07;"A";1004.09;"A";43;"A";21;"A";8;"A";1;"A";13;"A"
"2025-05-01 02:30";8.31;"A";4.89;"A";3.57;"A";20.16;"A";38.18;"A";99.87;"A";4196.4;"A";4202.2;"A";13.39;"A";52.62;"A";1003.95;"A";44;"A";20;"A";7;"A";1;"A";12;"A"
"2025-05-01 02:45";9.79;"A";5.78;"A";3.88;"A";19.95;"A";38.91;"A";99.93;"A";4196.67;"A";4202.87;"A";13.25;"A";53.49;"A";1003.85;"A";48;"A";20;"A";8;"A";1;"A";12;"A"
"2025-05-01 03:00";10.16;"A";6.06;"A";4.06;"A";19.78;"A";39.47;"A";99.98;"A";4196.8;"A";4202.73;"A";13.04;"A";54;"A";1003.86;"A";47;"A";20;"A";8;"A";1;"A";12;"A"
"2025-05-01 03:15";8.91;"A";6.34;"A";4.42;"A";19.56;"A";39.63;"A";99.84;"A";4164.13;"A";4167.6;"A";12.94;"A";54.03;"A";1003.85;"A";49;"A";19;"A";7;"A";1;"A";12;"A"
"2025-05-01 03:30";11.76;"A";7.76;"A";5.43;"A";19.38;"A";39.89;"A";99.73;"A";4195;"A";4202.13;"A";12.78;"A";54.45;"A";1003.84;"A";48;"A";19;"A";7;"A";1;"A";11;"A"
"2025-05-01 03:45";15.65;"A";10.41;"A";7.63;"A";19.22;"A";40.03;"A";99.83;"A";4195.8;"A";4202.2;"A";12.86;"A";54;"A";1003.78;"A";55;"A";20;"A";14;"A";1;"A";6;"A"
"2025-05-01 04:00";15.9;"A";11.65;"A";8.61;"A";19.14;"A";40.31;"A";99.91;"A";4196.73;"A";4202.93;"A";12.71;"A";54.58;"A";1003.69;"A";58;"A";20;"A";13;"A";1;"A";6;"A"
"2025-05-01 04:15";18.36;"A";13.34;"A";9.62;"A";19.1;"A";40.45;"A";99.86;"A";4179.93;"A";4183.73;"A";12.57;"A";55.25;"A";1003.66;"A";64;"A";20;"A";16;"A";1;"A";4;"A"
"2025-05-01 04:30";19.84;"A";14.01;"A";10;"A";19.01;"A";40.76;"A";99.85;"A";4196;"A";4202.73;"A";12.36;"A";55.96;"A";1003.7;"A";69;"A";20;"A";23;"A";1;"A";0;"A"
"2025-05-01 04:45";15.85;"A";10.68;"A";7.62;"A";18.86;"A";41.05;"A";99.92;"A";4196.93;"A";4204.67;"A";12.22;"A";56.45;"A";1003.64;"A";57;"A";20;"A";17;"A";1;"A";3;"A"
"2025-05-01 05:00";13.83;"A";8.71;"A";6.07;"A";18.69;"A";41.29;"A";99.97;"A";4196.87;"A";4203;"A";12.04;"A";56.71;"A";1003.54;"A";52;"A";19;"A";13;"A";1;"A";6;"A"
"2025-05-01 05:15";10.78;"A";7.7;"A";5.4;"A";18.54;"A";41.55;"A";99.94;"A";4178.4;"A";4182.07;"A";11.84;"A";57.49;"A";1003.57;"A";47;"A";19;"A";11;"A";1;"A";9;"A"
"2025-05-01 05:30";12.33;"A";7.77;"A";5.36;"A";18.35;"A";41.96;"A";99.71;"A";4175.33;"A";4180.27;"A";11.59;"A";58.32;"A";1003.6;"A";47;"A";19;"A";10;"A";1;"A";9;"A"
"2025-05-01 05:45";10.91;"A";7.09;"A";4.69;"A";18.1;"A";42.56;"A";99.77;"A";4195.47;"A";4202.67;"A";11.44;"A";59.26;"A";1003.44;"A";48;"A";18;"A";9;"A";1;"A";8;"A"
