timestamp;TC~T-QM[Cairnet CXM24280940];in °C;HR~T-QM[Cairnet CXM24280940];in %;PA~T-QM[Cairnet CXM24280940];in hPa;CO~4672-QM[Cairnet CXM24280940];in ppb;O3-NO2~4694-QM[Cairnet CXM24280940];in ppb;SO2~4715-QM[Cairnet CXM24280940];in ppb;NO2~4581-QM[Cairnet CXM24280940];in ppb;O3~0940-QM[Cairnet CXM24280940];in ppb;PM10~D641-QM[Cairnet CXM24280940];in µg/m3;PM2.5~D641-QM[Cairnet CXM24280940];in µg/m3;PM1~D641-QM[Cairnet CXM24280940];in µg/m3
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
01.08.2025 00:15;22.56;A;50.48;A;1000.22;A;114;A;34;A;0;A;7;A;27;A;10.37;A;7.44;A;5.38;A
01.08.2025 00:30;22.38;A;50.94;A;1000.3;A;110;A;34;A;0;A;8;A;26;A;10.87;A;8.02;A;5.61;A
01.08.2025 00:45;22.12;A;51.62;A;1000.4;A;111;A;34;A;0;A;8;A;26;A;11.69;A;8.14;A;5.71;A
01.08.2025 01:00;21.9;A;52.67;A;1000.35;A;116;A;32;A;0;A;8;A;24;A;13.46;A;8.48;A;5.98;A
01.08.2025 01:15;21.97;A;52.11;A;1000.46;A;112;A;33;A;0;A;7;A;26;A;12.27;A;8.33;A;6.16;A
01.08.2025 01:30;21.92;A;52.35;A;1000.46;A;110;A;34;A;0;A;7;A;27;A;11.75;A;8.62;A;6.28;A
01.08.2025 01:45;21.7;A;53.36;A;1000.37;A;127;A;33;A;0;A;8;A;26;A;12.55;A;8.58;A;6.13;A
01.08.2025 02:00;21.54;A;54.4;A;1000.43;A;138;A;33;A;0;A;7;A;25;A;11.94;A;8.69;A;6.05;A
01.08.2025 02:15;21.35;A;55.27;A;1000.52;A;140;A;32;A;0;A;8;A;25;A;12.73;A;9.43;A;6.87;A
01.08.2025 02:30;21.04;A;56.49;A;1000.53;A;123;A;31;A;0;A;7;A;24;A;12.74;A;9.57;A;6.9;A
01.08.2025 02:45;20.77;A;57.28;A;1000.53;A;106;A;32;A;0;A;7;A;25;A;12.62;A;9.63;A;6.7;A
01.08.2025 03:00;20.58;A;57.98;A;1000.55;A;99;A;30;A;0;A;7;A;23;A;13.15;A;9.04;A;6.31;A
01.08.2025 03:15;20.48;A;58.34;A;1000.71;A;96;A;30;A;0;A;6;A;24;A;12.03;A;8.61;A;6.14;A
01.08.2025 03:30;20.42;A;58.38;A;1000.68;A;86;A;31;A;0;A;7;A;24;A;11.68;A;8.5;A;5.95;A
01.08.2025 03:45;20.32;A;58.59;A;1000.68;A;83;A;31;A;0;A;7;A;24;A;12.11;A;8.72;A;6.16;A
01.08.2025 04:00;20.17;A;59.14;A;1000.82;A;82;A;31;A;0;A;6;A;24;A;14.92;A;8.82;A;6.37;A
01.08.2025 04:15;19.99;A;60.01;A;1000.66;A;80;A;30;A;0;A;6;A;24;A;12.77;A;9.26;A;6.18;A
01.08.2025 04:30;19.85;A;61.06;A;1000.7;A;83;A;31;A;0;A;7;A;24;A;11.98;A;8.8;A;6.23;A
01.08.2025 04:45;19.72;A;62.05;A;1000.8;A;84;A;30;A;0;A;6;A;24;A;12.37;A;8.66;A;6.34;A
01.08.2025 05:00;19.46;A;63.26;A;1000.74;A;84;A;29;A;0;A;6;A;23;A;11.49;A;8.52;A;6.31;A
01.08.2025 05:15;19.18;A;64.73;A;1000.76;A;89;A;29;A;0;A;7;A;22;A;12.96;A;9.23;A;6.56;A
01.08.2025 05:30;19.26;A;65.87;A;1000.92;A;104;A;29;A;0;A;8;A;21;A;15;A;11.28;A;8.04;A
01.08.2025 05:45;19.33;A;66.45;A;1000.96;A;100;A;28;A;0;A;7;A;21;A;13.79;A;10.01;A;7.05;A
01.08.2025 06:00;19.48;A;65.74;A;1001.05;A;94;A;30;A;0;A;8;A;23;A;13.17;A;9.57;A;6.85;A
01.08.2025 06:15;19.58;A;63.88;A;1001.23;A;91;A;30;A;0;A;7;A;23;A;13.4;A;9.4;A;6.87;A
01.08.2025 06:30;19.51;A;62.39;A;1001.2;A;85;A;32;A;0;A;8;A;24;A;13.03;A;9.05;A;6.39;A
01.08.2025 06:45;19.54;A;61.13;A;1001.21;A;95;A;32;A;0;A;8;A;24;A;12.14;A;8.24;A;6.07;A
01.08.2025 07:00;19.71;A;59.73;A;1001.25;A;89;A;34;A;0;A;8;A;25;A;11.32;A;8.27;A;5.8;A
01.08.2025 07:15;20.08;A;57.92;A;1001.34;A;85;A;34;A;0;A;8;A;26;A;11.18;A;7.92;A;5.53;A
01.08.2025 07:30;21.78;A;51.74;A;1001.38;A;81;A;35;A;0;A;7;A;28;A;10.07;A;7.45;A;5.01;A
01.08.2025 07:45;23.21;A;46.91;A;1001.4;A;93;A;37;A;0;A;7;A;30;A;9.66;A;6.58;A;4.57;A
01.08.2025 08:00;23.2;A;45.16;A;1001.33;A;95;A;44;A;0;A;10;A;34;A;14.86;A;6.44;A;4.47;A
01.08.2025 08:15;23.01;A;45.13;A;1001.49;A;109;A;45;A;0;A;11;A;34;A;12.78;A;7.66;A;5.38;A
01.08.2025 08:30;23.18;A;45.25;A;1001.54;A;161;A;46;A;0;A;15;A;31;A;14.69;A;9.44;A;6.79;A
01.08.2025 08:45;23.51;A;44.59;A;1001.66;A;104;A;45;A;0;A;9;A;35;A;8.86;A;6.01;A;4.29;A
01.08.2025 09:00;24.08;A;43.63;A;1001.75;A;95;A;45;A;0;A;9;A;36;A;10.97;A;6.43;A;4.52;A
01.08.2025 09:15;24.91;A;42.2;A;1001.78;A;87;A;45;A;0;A;9;A;37;A;11.45;A;6.65;A;4.47;A
01.08.2025 09:30;25.99;A;39.29;A;1001.82;A;91;A;47;A;0;A;9;A;38;A;10.24;A;6.18;A;4.27;A
01.08.2025 09:45;26.57;A;37.59;A;1001.87;A;106;A;48;A;0;A;9;A;39;A;9.97;A;5.63;A;3.83;A
01.08.2025 10:00;26.54;A;36.41;A;1001.95;A;111;A;51;A;0;A;9;A;41;A;12.25;A;5.84;A;4.1;A
01.08.2025 10:15;26.62;A;36.57;A;1001.89;A;120;A;51;A;0;A;10;A;41;A;9.59;A;5.74;A;3.77;A
01.08.2025 10:30;26.82;A;36.74;A;1001.72;A;117;A;50;A;0;A;10;A;41;A;9.58;A;5.77;A;3.9;A
01.08.2025 10:45;27.05;A;35.51;A;1001.73;A;104;A;50;A;0;A;8;A;42;A;10.96;A;6;A;4.12;A
01.08.2025 11:00;27.5;A;35.12;A;1001.56;A;112;A;51;A;0;A;10;A;41;A;8.77;A;5.71;A;3.81;A
01.08.2025 11:15;27.63;A;34.99;A;1001.51;A;111;A;52;A;0;A;10;A;42;A;10.66;A;5.53;A;3.74;A
01.08.2025 11:30;27.65;A;35.25;A;1001.53;A;118;A;52;A;0;A;9;A;42;A;13.13;A;6.43;A;4.26;A
01.08.2025 11:45;28.08;A;34.61;A;1001.65;A;110;A;50;A;0;A;7;A;43;A;11.12;A;6.21;A;4.32;A
01.08.2025 12:00;28.23;A;34.93;A;1001.61;A;113;A;52;A;0;A;9;A;43;A;9.1;A;6.09;A;4.16;A
01.08.2025 12:15;28.41;A;34.5;A;1001.65;A;122;A;53;A;0;A;9;A;43;A;10.8;A;6.51;A;4.49;A
01.08.2025 12:30;28.68;A;34.8;A;1001.63;A;118;A;52;A;0;A;8;A;43;A;10.95;A;6.63;A;4.64;A
01.08.2025 12:45;28.65;A;34.4;A;1001.46;A;122;A;52;A;0;A;9;A;43;A;9.47;A;6.22;A;4.35;A
01.08.2025 13:00;29.03;A;34.5;A;1001.37;A;130;A;50;A;0;A;7;A;43;A;8.87;A;6.19;A;4.3;A
01.08.2025 13:15;29.42;A;33.13;A;1001.33;A;105;A;52;A;0;A;7;A;45;A;10.03;A;5.85;A;3.96;A
