"timestamp";"TC~T-QM[Cairnet CXM24280940]";"in °C";"HR~T-QM[Cairnet CXM24280940]";"in %";"PA~T-QM[Cairnet CXM24280940]";"in hPa";"CO~4672-QM[Cairnet CXM24280940]";"in ppb";"O3-NO2~4694-QM[Cairnet CXM24280940]";"in ppb";"SO2~4715-QM[Cairnet CXM24280940]";"in ppb";"NO2~4581-QM[Cairnet CXM24280940]";"in ppb";"O3~0940-QM[Cairnet CXM24280940]";"in ppb";"PM10~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM2.5~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM1~D641-QM[Cairnet CXM24280940]";"in µg/m3"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-03-01 00:15";-2;"A";66.3;"A";1019.43;"A";372;"A";37;"A";0;"A";9;"A";29;"A";88.92;"A";70;"A";50.5;"A"
"2025-03-01 00:30";-2.22;"A";66.98;"A";1019.6;"A";414;"A";36;"A";0;"A";8;"A";28;"A";82.23;"A";65.32;"A";46.93;"A"
"2025-03-01 00:45";-2.44;"A";68.11;"A";1019.68;"A";203;"A";34;"A";0;"A";8;"A";26;"A";101.16;"A";81.71;"A";58.8;"A"
"2025-03-01 01:00";-2.73;"A";70.47;"A";1019.64;"A";262;"A";34;"A";11;"A";9;"A";25;"A";118.01;"A";94.32;"A";68.14;"A"
"2025-03-01 01:15";-3.02;"A";71.81;"A";1019.64;"A";357;"A";34;"A";12;"A";8;"A";26;"A";104.18;"A";84.4;"A";59.94;"A"
"2025-03-01 01:30";-3.29;"A";73.31;"A";1019.71;"A";188;"A";33;"A";2;"A";7;"A";26;"A";96.65;"A";79.48;"A";57.39;"A"
"2025-03-01 01:45";-3.61;"A";75.53;"A";1019.77;"A";164;"A";34;"A";0;"A";7;"A";27;"A";109.34;"A";89.2;"A";62.8;"A"
"2025-03-01 02:00";-3.97;"A";77.57;"A";1019.67;"A";218;"A";33;"A";0;"A";8;"A";26;"A";131.06;"A";104.03;"A";75.85;"A"
"2025-03-01 02:15";-4.05;"A";78.28;"A";1019.74;"A";284;"A";34;"A";0;"A";8;"A";26;"A";104.02;"A";75.95;"A";72.33;"A"
"2025-03-01 02:30";-4;"A";78.78;"A";1019.79;"A";247;"A";33;"A";0;"A";8;"A";26;"A";100.36;"A";73.28;"A";69.77;"A"
"2025-03-01 02:45";-3.92;"A";78.91;"A";1019.66;"A";346;"A";34;"A";0;"A";7;"A";27;"A";103.86;"A";75.84;"A";72.22;"A"
