"timestamp";"TC~T-QM[Cairnet CXM24280940]";"in °C";"HR~T-QM[Cairnet CXM24280940]";"in %";"PA~T-QM[Cairnet CXM24280940]";"in hPa";"CO~4672-QM[Cairnet CXM24280940]";"in ppb";"O3-NO2~4694-QM[Cairnet CXM24280940]";"in ppb";"SO2~4715-QM[Cairnet CXM24280940]";"in ppb";"NO2~4581-QM[Cairnet CXM24280940]";"in ppb";"O3~0940-QM[Cairnet CXM24280940]";"in ppb";"PM10~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM2.5~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM1~D641-QM[Cairnet CXM24280940]";"in µg/m3"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-04-01 00:15";12.78;"A";82.85;"A";1000.91;"A";160;"A";22;"A";0;"A";9;"A";12;"A";28.35;"A";20.52;"A";19.36;"A"
"2025-04-01 00:30";12.72;"A";81.46;"A";1000.99;"A";142;"A";22;"A";1;"A";9;"A";13;"A";31.7;"A";22.98;"A";21.71;"A"
"2025-04-01 00:45";12.61;"A";77.24;"A";1000.88;"A";111;"A";25;"A";0;"A";6;"A";19;"A";29.25;"A";21.55;"A";16.87;"A"
"2025-04-01 01:00";12.47;"A";75.81;"A";1000.88;"A";102;"A";28;"A";0;"A";6;"A";22;"A";25.3;"A";19.74;"A";14.25;"A"
"2025-04-01 01:15";12.32;"A";75.62;"A";1000.84;"A";104;"A";28;"A";0;"A";6;"A";22;"A";24.33;"A";18.9;"A";13.34;"A"
"2025-04-01 01:30";12.27;"A";75.37;"A";1000.9;"A";106;"A";29;"A";0;"A";7;"A";22;"A";21.36;"A";17.17;"A";12.56;"A"
"2025-04-01 01:45";12.16;"A";75.35;"A";1000.96;"A";109;"A";29;"A";0;"A";6;"A";23;"A";22.03;"A";17.31;"A";12.12;"A"
"2025-04-01 02:00";12.07;"A";75.06;"A";1000.99;"A";119;"A";28;"A";0;"A";6;"A";22;"A";24.26;"A";19.43;"A";14.12;"A"
"2025-04-01 02:15";11.84;"A";75.63;"A";1000.85;"A";126;"A";27;"A";0;"A";6;"A";22;"A";24.93;"A";19.47;"A";13.82;"A"
"2025-04-01 02:30";11.66;"A";76.41;"A";1000.91;"A";148;"A";27;"A";0;"A";6;"A";21;"A";23.62;"A";18.59;"A";13.87;"A"
"2025-04-01 02:45";11.47;"A";77.2;"A";1000.98;"A";138;"A";27;"A";0;"A";6;"A";21;"A";18.72;"A";13.47;"A";12.62;"A"
"2025-04-01 03:00";11.23;"A";78.16;"A";1000.91;"A";92;"A";26;"A";0;"A";6;"A";21;"A";13.75;"A";9.82;"A";9.14;"A"
"2025-04-01 03:15";11.01;"A";78.27;"A";1000.87;"A";89;"A";26;"A";0;"A";6;"A";20;"A";12.59;"A";8.98;"A";8.33;"A"
"2025-04-01 03:30";10.85;"A";78.46;"A";1000.71;"A";91;"A";26;"A";0;"A";6;"A";21;"A";14.01;"A";10.01;"A";9.32;"A"
"2025-04-01 03:45";10.78;"A";78.94;"A";1000.71;"A";90;"A";25;"A";0;"A";6;"A";20;"A";13.93;"A";9.96;"A";9.27;"A"
"2025-04-01 04:00";10.68;"A";79.42;"A";1000.67;"A";86;"A";25;"A";0;"A";6;"A";19;"A";14.81;"A";10.6;"A";9.88;"A"
"2025-04-01 04:15";10.57;"A";80.2;"A";1000.88;"A";89;"A";24;"A";0;"A";6;"A";18;"A";16.06;"A";11.52;"A";10.76;"A"
"2025-04-01 04:30";10.47;"A";80.97;"A";1000.76;"A";88;"A";23;"A";0;"A";7;"A";16;"A";17.6;"A";12.64;"A";11.83;"A"
"2025-04-01 04:45";10.43;"A";81.41;"A";1000.72;"A";102;"A";22;"A";1;"A";6;"A";16;"A";19.38;"A";13.95;"A";13.08;"A"
"2025-04-01 05:00";10.38;"A";81.58;"A";1000.65;"A";94;"A";21;"A";1;"A";6;"A";15;"A";19.48;"A";14.03;"A";13.15;"A"
"2025-04-01 05:15";10.25;"A";81.99;"A";1000.75;"A";91;"A";21;"A";0;"A";6;"A";15;"A";22.12;"A";15.96;"A";15;"A"
"2025-04-01 05:30";10.14;"A";82.2;"A";1001.03;"A";96;"A";22;"A";0;"A";6;"A";15;"A";21.5;"A";15.5;"A";14.57;"A"
"2025-04-01 05:45";10.01;"A";82.29;"A";1001.04;"A";92;"A";22;"A";1;"A";7;"A";15;"A";21.28;"A";15.34;"A";14.41;"A"
"2025-04-01 06:00";9.94;"A";82.38;"A";1000.97;"A";102;"A";23;"A";0;"A";11;"A";12;"A";22.81;"A";16.47;"A";15.49;"A"
"2025-04-01 06:15";9.85;"A";82.83;"A";1001.12;"A";110;"A";23;"A";0;"A";12;"A";11;"A";24.13;"A";17.43;"A";16.41;"A"
"2025-04-01 06:30";9.84;"A";82.72;"A";1001.22;"A";142;"A";23;"A";0;"A";13;"A";11;"A";26.31;"A";19.02;"A";17.93;"A"
"2025-04-01 06:45";9.78;"A";82.55;"A";1001.24;"A";104;"A";22;"A";0;"A";10;"A";12;"A";26.35;"A";19.06;"A";17.96;"A"
"2025-04-01 07:00";9.66;"A";83.18;"A";1001.5;"A";107;"A";22;"A";1;"A";10;"A";12;"A";28.48;"A";20.62;"A";19.45;"A"
"2025-04-01 07:15";9.56;"A";83.76;"A";1001.62;"A";136;"A";22;"A";1;"A";8;"A";13;"A";29.05;"A";21.04;"A";19.85;"A"
"2025-04-01 07:30";9.63;"A";83.67;"A";1001.69;"A";123;"A";22;"A";1;"A";10;"A";11;"A";29.61;"A";21.45;"A";20.24;"A"
"2025-04-01 07:45";9.57;"A";84.18;"A";1001.61;"A";157;"A";22;"A";1;"A";9;"A";13;"A";31.81;"A";23.06;"A";21.78;"A"
"2025-04-01 08:00";9.55;"A";85.18;"A";1001.62;"A";143;"A";22;"A";1;"A";8;"A";13;"A";37.92;"A";27.53;"A";26.06;"A"
"2025-04-01 08:15";9.67;"A";84.96;"A";1001.69;"A";151;"A";22;"A";0;"A";8;"A";14;"A";38.34;"A";27.84;"A";26.35;"A"
"2025-04-01 08:30";9.77;"A";84.76;"A";1001.8;"A";138;"A";23;"A";1;"A";9;"A";13;"A";36.54;"A";26.53;"A";25.1;"A"
"2025-04-01 08:45";9.9;"A";84.53;"A";1001.82;"A";140;"A";24;"A";0;"A";11;"A";12;"A";39.57;"A";28.74;"A";27.22;"A"
"2025-04-01 09:00";10.07;"A";84.09;"A";1001.99;"A";148;"A";25;"A";0;"A";12;"A";12;"A";40.57;"A";29.47;"A";27.91;"A"
"2025-04-01 09:15";10.2;"A";84.01;"A";1002.05;"A";170;"A";25;"A";0;"A";12;"A";13;"A";44.47;"A";32.33;"A";30.64;"A"
"2025-04-01 09:30";10.4;"A";83.52;"A";1002.32;"A";142;"A";25;"A";0;"A";12;"A";13;"A";43.26;"A";31.45;"A";29.8;"A"
"2025-04-01 09:45";10.57;"A";83.56;"A";1002.43;"A";195;"A";26;"A";0;"A";14;"A";13;"A";45.04;"A";32.75;"A";31.04;"A"
"2025-04-01 10:00";10.68;"A";84.05;"A";1002.45;"A";197;"A";26;"A";0;"A";13;"A";13;"A";46.04;"A";33.48;"A";31.74;"A"
"2025-04-01 10:15";10.66;"A";86.18;"A";1002.54;"A";186;"A";25;"A";0;"A";12;"A";13;"A";41.78;"A";30.36;"A";28.76;"A"
"2025-04-01 10:30";10.7;"A";86.44;"A";1002.65;"A";153;"A";25;"A";0;"A";13;"A";13;"A";45.47;"A";33.06;"A";31.34;"A"
"2025-04-01 10:45";10.78;"A";85.99;"A";1002.61;"A";149;"A";24;"A";0;"A";11;"A";13;"A";32.48;"A";23.55;"A";22.25;"A"
"2025-04-01 11:00";10.83;"A";86.8;"A";1002.53;"A";162;"A";23;"A";0;"A";11;"A";12;"A";30.42;"A";22.04;"A";20.81;"A"
"2025-04-01 11:15";10.98;"A";86.49;"A";1002.42;"A";151;"A";22;"A";1;"A";10;"A";12;"A";28.24;"A";20.44;"A";19.29;"A"
"2025-04-01 11:30";11.16;"A";86.1;"A";1002.4;"A";143;"A";21;"A";1;"A";9;"A";12;"A";27.3;"A";19.75;"A";18.63;"A"
"2025-04-01 11:45";11.21;"A";86.11;"A";1002.51;"A";153;"A";21;"A";1;"A";10;"A";11;"A";31.45;"A";22.79;"A";21.53;"A"
"2025-04-01 12:00";11.38;"A";85.19;"A";1002.65;"A";146;"A";20;"A";1;"A";9;"A";11;"A";29.7;"A";21.51;"A";20.3;"A"
"2025-04-01 12:15";11.62;"A";84.78;"A";1002.66;"A";154;"A";20;"A";1;"A";9;"A";11;"A";28.85;"A";20.89;"A";19.71;"A"
"2025-04-01 12:30";11.89;"A";84.11;"A";1002.81;"A";141;"A";20;"A";0;"A";9;"A";11;"A";24.06;"A";17.38;"A";16.36;"A"
"2025-04-01 12:45";12.33;"A";83.44;"A";1002.84;"A";153;"A";20;"A";1;"A";8;"A";12;"A";21.37;"A";15.41;"A";14.48;"A"
"2025-04-01 13:00";12.61;"A";82.55;"A";1002.77;"A";145;"A";20;"A";1;"A";8;"A";12;"A";22.1;"A";15.95;"A";14.99;"A"
"2025-04-01 13:15";13.04;"A";81.37;"A";1002.79;"A";156;"A";22;"A";1;"A";10;"A";12;"A";21.22;"A";15.3;"A";14.37;"A"
"2025-04-01 13:30";13.54;"A";79.95;"A";1002.75;"A";143;"A";22;"A";1;"A";8;"A";14;"A";17.66;"A";12.69;"A";11.88;"A"
"2025-04-01 13:45";13.97;"A";77.5;"A";1002.75;"A";129;"A";24;"A";0;"A";7;"A";16;"A";16.09;"A";11.54;"A";10.78;"A"
"2025-04-01 14:00";14.13;"A";76.4;"A";1002.85;"A";138;"A";24;"A";0;"A";9;"A";15;"A";17.42;"A";12.82;"A";11.34;"A"
"2025-04-01 14:15";14.04;"A";76.24;"A";1002.79;"A";136;"A";25;"A";0;"A";10;"A";15;"A";16.94;"A";12.16;"A";11.37;"A"
"2025-04-01 14:30";14.15;"A";75.91;"A";1002.81;"A";137;"A";26;"A";0;"A";10;"A";15;"A";17.27;"A";13.1;"A";11.24;"A"
"2025-04-01 14:45";14.23;"A";75.88;"A";1002.67;"A";139;"A";27;"A";0;"A";9;"A";17;"A";22.57;"A";16.29;"A";15.31;"A"
"2025-04-01 15:00";14.53;"A";74.28;"A";1002.62;"A";163;"A";26;"A";0;"A";7;"A";19;"A";28.08;"A";21.74;"A";17.72;"A"
"2025-04-01 15:15";14.79;"A";71.05;"A";1002.4;"A";125;"A";27;"A";0;"A";6;"A";21;"A";26.08;"A";20.89;"A";15.23;"A"
"2025-04-01 15:30";15.14;"A";70.18;"A";1002.38;"A";121;"A";30;"A";0;"A";7;"A";23;"A";25.68;"A";20.66;"A";14.65;"A"
"2025-04-01 15:45";15.12;"A";69.44;"A";1002.28;"A";132;"A";29;"A";0;"A";6;"A";23;"A";28.08;"A";22.62;"A";16.4;"A"
"2025-04-01 16:00";15.29;"A";68.97;"A";1002.43;"A";144;"A";30;"A";0;"A";7;"A";22;"A";31.9;"A";25.3;"A";18.23;"A"
"2025-04-01 16:15";15.62;"A";66.87;"A";1002.44;"A";136;"A";28;"A";0;"A";6;"A";22;"A";35.7;"A";28.15;"A";19.79;"A"
"2025-04-01 16:30";15.74;"A";65.32;"A";1002.44;"A";176;"A";30;"A";0;"A";8;"A";22;"A";37.32;"A";30.69;"A";21.7;"A"
"2025-04-01 16:45";15.96;"A";64.22;"A";1002.48;"A";153;"A";30;"A";0;"A";8;"A";23;"A";37.14;"A";30.35;"A";21.98;"A"
"2025-04-01 17:00";15.92;"A";62.82;"A";1002.33;"A";155;"A";31;"A";0;"A";7;"A";24;"A";33.87;"A";27.43;"A";20.08;"A"
"2025-04-01 17:15";15.86;"A";62.56;"A";1002.21;"A";154;"A";33;"A";0;"A";9;"A";25;"A";34.75;"A";28.1;"A";19.97;"A"
"2025-04-01 17:30";15.85;"A";62.7;"A";1002.12;"A";157;"A";32;"A";0;"A";9;"A";24;"A";36.4;"A";29.55;"A";21.01;"A"
"2025-04-01 17:45";15.77;"A";63.63;"A";1002.17;"A";157;"A";32;"A";0;"A";8;"A";24;"A";39.19;"A";32.04;"A";23.22;"A"
"2025-04-01 18:00";15.76;"A";64.07;"A";1002.2;"A";165;"A";31;"A";0;"A";8;"A";23;"A";41.98;"A";34.63;"A";24.39;"A"
"2025-04-01 18:15";15.46;"A";64.99;"A";1002.2;"A";146;"A";31;"A";0;"A";7;"A";24;"A";38.07;"A";30.46;"A";21.69;"A"
"2025-04-01 18:30";15.25;"A";65.91;"A";1002.16;"A";172;"A";32;"A";0;"A";10;"A";22;"A";36.24;"A";29.41;"A";20.77;"A"
"2025-04-01 18:45";15.15;"A";65.5;"A";1002.07;"A";192;"A";32;"A";0;"A";11;"A";21;"A";37.36;"A";29.29;"A";21.38;"A"
"2025-04-01 19:00";15.08;"A";65;"A";1002.2;"A";232;"A";34;"A";0;"A";13;"A";20;"A";33.84;"A";26.71;"A";19.34;"A"
"2025-04-01 19:15";14.82;"A";66.04;"A";1002.21;"A";217;"A";33;"A";0;"A";15;"A";19;"A";34.18;"A";26.91;"A";19.22;"A"
"2025-04-01 19:30";14.36;"A";66.85;"A";1002.34;"A";277;"A";32;"A";0;"A";16;"A";17;"A";38.03;"A";29.43;"A";20.86;"A"
"2025-04-01 19:45";14.12;"A";66.97;"A";1002.34;"A";287;"A";35;"A";0;"A";21;"A";14;"A";36.59;"A";28.6;"A";20.26;"A"
"2025-04-01 20:00";13.97;"A";67.1;"A";1002.36;"A";291;"A";35;"A";0;"A";22;"A";13;"A";34.13;"A";26.99;"A";19.66;"A"
"2025-04-01 20:15";13.63;"A";68.18;"A";1002.38;"A";203;"A";34;"A";0;"A";14;"A";19;"A";23.39;"A";16.67;"A";12.37;"A"
"2025-04-01 20:30";13.45;"A";69.11;"A";1002.5;"A";199;"A";32;"A";0;"A";13;"A";19;"A";19.11;"A";14.88;"A";10.56;"A"
"2025-04-01 20:45";13.22;"A";69.75;"A";1002.69;"A";291;"A";33;"A";0;"A";16;"A";17;"A";72.67;"A";71.6;"A";46.67;"A"
"2025-04-01 21:00";12.97;"A";70.79;"A";1002.61;"A";342;"A";32;"A";0;"A";17;"A";14;"A";44.67;"A";36.93;"A";28.05;"A"
"2025-04-01 21:15";13.04;"A";70.69;"A";1002.63;"A";262;"A";31;"A";0;"A";16;"A";15;"A";29.71;"A";23.58;"A";17.3;"A"
"2025-04-01 21:30";13.1;"A";70.61;"A";1002.61;"A";204;"A";30;"A";0;"A";12;"A";19;"A";29.32;"A";24.43;"A";17.17;"A"
"2025-04-01 21:45";13.04;"A";70.64;"A";1002.73;"A";260;"A";30;"A";0;"A";13;"A";18;"A";28.41;"A";23.62;"A";17.14;"A"
"2025-04-01 22:00";12.92;"A";70.96;"A";1002.63;"A";254;"A";32;"A";0;"A";17;"A";15;"A";27.22;"A";22.18;"A";16.48;"A"
"2025-04-01 22:15";12.6;"A";72.67;"A";1002.49;"A";337;"A";29;"A";0;"A";17;"A";11;"A";39.16;"A";32.28;"A";24.17;"A"
"2025-04-01 22:30";12.31;"A";72.85;"A";1002.36;"A";349;"A";29;"A";0;"A";17;"A";12;"A";45.41;"A";37.1;"A";27;"A"
"2025-04-01 22:45";12.1;"A";73.37;"A";1002.48;"A";388;"A";31;"A";0;"A";20;"A";12;"A";46.55;"A";38.05;"A";28.25;"A"
"2025-04-01 23:00";11.78;"A";74.74;"A";1002.4;"A";269;"A";28;"A";0;"A";15;"A";13;"A";35.6;"A";28.8;"A";20.63;"A"
