"timestamp";"TC~T-QM[Cairnet CXM24280940]";"in °C";"HR~T-QM[Cairnet CXM24280940]";"in %";"PA~T-QM[Cairnet CXM24280940]";"in hPa";"CO~4672-QM[Cairnet CXM24280940]";"in ppb";"O3-NO2~4694-QM[Cairnet CXM24280940]";"in ppb";"SO2~4715-QM[Cairnet CXM24280940]";"in ppb";"NO2~4581-QM[Cairnet CXM24280940]";"in ppb";"O3~0940-QM[Cairnet CXM24280940]";"in ppb";"PM10~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM2.5~D641-QM[Cairnet CXM24280940]";"in µg/m3";"PM1~D641-QM[Cairnet CXM24280940]";"in µg/m3"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-07-01 00:15";20.02;"A";51.83;"A";999.06;"A";55;"A";35;"A";0;"A";5;"A";29;"A";9.02;"A";4.87;"A";2.96;"A"
"2025-07-01 00:30";19.81;"A";52.04;"A";999.1;"A";54;"A";34;"A";0;"A";5;"A";29;"A";9.64;"A";5.09;"A";3.27;"A"
"2025-07-01 00:45";19.51;"A";53.26;"A";999.02;"A";49;"A";34;"A";0;"A";5;"A";29;"A";9.59;"A";4.54;"A";3.17;"A"
"2025-07-01 01:00";19.27;"A";53.24;"A";999.04;"A";49;"A";34;"A";0;"A";5;"A";29;"A";8.94;"A";4.61;"A";3.01;"A"
"2025-07-01 01:15";19.21;"A";53.73;"A";998.96;"A";50;"A";34;"A";0;"A";5;"A";29;"A";9.42;"A";4.99;"A";3.22;"A"
"2025-07-01 01:30";19.22;"A";50.75;"A";998.88;"A";36;"A";35;"A";0;"A";4;"A";31;"A";8.53;"A";4.37;"A";2.77;"A"
"2025-07-01 01:45";19.11;"A";50.59;"A";998.84;"A";38;"A";36;"A";0;"A";6;"A";31;"A";8.01;"A";4.57;"A";2.77;"A"
"2025-07-01 02:00";19.12;"A";50.88;"A";998.79;"A";42;"A";36;"A";0;"A";5;"A";31;"A";7.29;"A";4.46;"A";2.89;"A"
"2025-07-01 02:15";19.15;"A";50.91;"A";998.74;"A";42;"A";36;"A";0;"A";5;"A";31;"A";8.84;"A";4.61;"A";2.94;"A"
"2025-07-01 02:30";19.05;"A";51.94;"A";998.82;"A";46;"A";37;"A";0;"A";5;"A";31;"A";8.37;"A";4.66;"A";3.2;"A"
"2025-07-01 02:45";18.9;"A";53.01;"A";998.9;"A";45;"A";36;"A";0;"A";6;"A";30;"A";7.78;"A";4.54;"A";3.03;"A"
"2025-07-01 03:00";18.72;"A";53.97;"A";998.96;"A";43;"A";36;"A";0;"A";5;"A";31;"A";7.31;"A";3.92;"A";2.62;"A"
