"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-04-01 00:15";94.28;"A";4212.8;"A";4214.13;"A";29.78;"A";20.67;"A";18.21;"A";21.19;"A";59.94;"A";12;"A";13.37;"A";86.9;"A";1005.54;"A";7;"A";3;"A";5;"A";142;"A";0;"A";203.33;"A"
"2025-04-01 00:30";94.28;"A";4212.8;"A";4214.47;"A";26.5;"A";18.41;"A";16.21;"A";20.41;"A";59.7;"A";14;"A";13.29;"A";83.2;"A";1005.62;"A";10;"A";3;"A";4;"A";134;"A";0;"A";166.67;"A"
"2025-04-01 00:45";94.28;"A";4212.87;"A";4214.33;"A";23.06;"A";17.73;"A";13.06;"A";19.46;"A";59.64;"A";19;"A";13.09;"A";80.47;"A";1005.55;"A";13;"A";2;"A";5;"A";137;"A";0.33;"A";203.33;"A"
"2025-04-01 01:00";94.25;"A";4206.53;"A";4207.6;"A";19.74;"A";14.62;"A";10.64;"A";19.12;"A";59.82;"A";19;"A";12.97;"A";79.7;"A";1005.6;"A";14;"A";2;"A";5;"A";126;"A";0;"A";163.33;"A"
"2025-04-01 01:15";94.23;"A";4212.33;"A";4214.13;"A";18.82;"A";13.99;"A";11.18;"A";18.98;"A";59.86;"A";19;"A";12.93;"A";79.16;"A";1005.59;"A";14;"A";2;"A";6;"A";170;"A";0;"A";260;"A"
"2025-04-01 01:30";94.25;"A";4212.8;"A";4214.2;"A";18.11;"A";12.72;"A";9.06;"A";18.83;"A";59.77;"A";20;"A";12.79;"A";79.17;"A";1005.66;"A";15;"A";2;"A";5;"A";133;"A";0;"A";120;"A"
"2025-04-01 01:45";94.18;"A";4189.53;"A";4187.4;"A";14.2;"A";10.43;"A";8.3;"A";18.74;"A";59.84;"A";19;"A";12.65;"A";79.38;"A";1005.62;"A";15;"A";2;"A";5;"A";128;"A";0.67;"A";200;"A"
"2025-04-01 02:00";94.05;"A";4210.2;"A";4212.47;"A";15.11;"A";11.28;"A";7.75;"A";18.56;"A";59.42;"A";20;"A";12.5;"A";78.67;"A";1005.57;"A";16;"A";2;"A";5;"A";122;"A";0.67;"A";126.67;"A"
"2025-04-01 02:15";94.13;"A";4211.27;"A";4213.2;"A";14.24;"A";10.66;"A";7.36;"A";18.41;"A";59.43;"A";20;"A";12.37;"A";78.82;"A";1005.49;"A";15;"A";1;"A";5;"A";129;"A";0;"A";96.67;"A"
