
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-09-01 00:15";11.79;"A";7.09;"A";5.08;"A";33.73;"A";32.42;"A";99.81;"A";4178.8;"A";4189.93;"A";26.07;"A";42.67;"A";994.9;"A";221;"A";38;"A";16;"A";0;"A";21;"A"
"2025-09-01 00:30";11.43;"A";7.22;"A";5.29;"A";33.55;"A";32.87;"A";99.85;"A";4195.73;"A";4209.73;"A";25.87;"A";43.48;"A";994.91;"A";204;"A";37;"A";16;"A";0;"A";22;"A"
"2025-09-01 00:45";10.53;"A";7.25;"A";5.09;"A";33.35;"A";33.18;"A";99.92;"A";4196.4;"A";4210;"A";25.73;"A";43.5;"A";994.86;"A";180;"A";37;"A";12;"A";0;"A";25;"A"
"2025-09-01 01:00";12.32;"A";7.59;"A";4.98;"A";33.18;"A";33.8;"A";99.97;"A";4196.87;"A";4209.73;"A";25.62;"A";44.64;"A";995.12;"A";162;"A";37;"A";12;"A";0;"A";25;"A"
"2025-09-01 01:15";14.45;"A";8.23;"A";5.48;"A";33.04;"A";34.65;"A";99.92;"A";4170.67;"A";4181.53;"A";25.38;"A";46.03;"A";995.11;"A";165;"A";35;"A";19;"A";0;"A";16;"A"
"2025-09-01 01:30";12.94;"A";7.93;"A";5.61;"A";32.84;"A";35.44;"A";99.73;"A";4184.13;"A";4196.73;"A";25.09;"A";47.6;"A";995.08;"A";162;"A";35;"A";19;"A";0;"A";16;"A"
"2025-09-01 01:45";11.99;"A";7.67;"A";5.3;"A";32.59;"A";36.69;"A";99.82;"A";4195.47;"A";4209.47;"A";24.88;"A";49.63;"A";994.99;"A";178;"A";34;"A";16;"A";0;"A";18;"A"
"2025-09-01 02:00";11.17;"A";6.74;"A";4.81;"A";32.36;"A";38.23;"A";99.89;"A";4195.8;"A";4209.2;"A";24.64;"A";51.92;"A";994.81;"A";145;"A";33;"A";10;"A";0;"A";23;"A"
"2025-09-01 02:15";12.15;"A";6.91;"A";4.75;"A";32.14;"A";39.25;"A";99.93;"A";4189.73;"A";4202.2;"A";24.3;"A";53.43;"A";994.71;"A";129;"A";31;"A";10;"A";0;"A";21;"A"
"2025-09-01 02:30";12.65;"A";6.7;"A";4.75;"A";31.9;"A";40.09;"A";99.92;"A";4196.47;"A";4210.07;"A";23.96;"A";54.7;"A";994.6;"A";123;"A";30;"A";12;"A";0;"A";18;"A"
"2025-09-01 02:45";11.52;"A";7.08;"A";4.98;"A";31.62;"A";40.96;"A";99.97;"A";4196.53;"A";4209.53;"A";23.75;"A";55.85;"A";994.53;"A";122;"A";30;"A";13;"A";0;"A";18;"A"
"2025-09-01 03:00";12.41;"A";6.97;"A";4.84;"A";31.34;"A";42.26;"A";100;"A";4194.73;"A";4207.87;"A";23.65;"A";57.62;"A";994.49;"A";119;"A";32;"A";13;"A";0;"A";19;"A"
"2025-09-01 03:15";11.66;"A";6.86;"A";4.91;"A";31.14;"A";44.61;"A";99.89;"A";4182.67;"A";4194;"A";23.52;"A";61.58;"A";994.51;"A";124;"A";32;"A";12;"A";0;"A";20;"A"
"2025-09-01 03:30";13.19;"A";7.49;"A";5.6;"A";30.98;"A";48.92;"A";99.91;"A";4196.27;"A";4209.47;"A";23.21;"A";69.5;"A";994.69;"A";137;"A";31;"A";12;"A";0;"A";19;"A"
"2025-09-01 03:45";13;"A";9.1;"A";6.55;"A";30.79;"A";53.56;"A";99.96;"A";4194.67;"A";4207.53;"A";22.96;"A";74.52;"A";994.92;"A";130;"A";26;"A";7;"A";1;"A";19;"A"
"2025-09-01 04:00";13.72;"A";9.96;"A";6.87;"A";30.54;"A";54.71;"A";99.81;"A";4161.53;"A";4171.47;"A";22.77;"A";74.84;"A";994.8;"A";107;"A";25;"A";7;"A";0;"A";18;"A"
"2025-09-01 04:15";12.94;"A";9.02;"A";6.49;"A";30.29;"A";55.18;"A";99.73;"A";4194.87;"A";4208.6;"A";22.6;"A";75.04;"A";994.54;"A";97;"A";26;"A";8;"A";0;"A";18;"A"
"2025-09-01 04:30";14.08;"A";9.42;"A";6.68;"A";30.09;"A";55.91;"A";99.83;"A";4195.53;"A";4208.93;"A";22.47;"A";75.84;"A";994.35;"A";97;"A";24;"A";7;"A";0;"A";17;"A"
"2025-09-01 04:45";14.17;"A";9.53;"A";6.79;"A";29.95;"A";56.4;"A";99.9;"A";4196.07;"A";4209.53;"A";22.25;"A";76.62;"A";994.19;"A";98;"A";23;"A";6;"A";0;"A";17;"A"
"2025-09-01 05:00";13.19;"A";10.04;"A";7.04;"A";29.76;"A";57.22;"A";99.95;"A";4196.53;"A";4209.8;"A";22.05;"A";78.31;"A";994.08;"A";99;"A";23;"A";6;"A";1;"A";16;"A"
"2025-09-01 05:15";15.47;"A";10.66;"A";7.82;"A";29.59;"A";58.92;"A";99.99;"A";4192.6;"A";4205.33;"A";22;"A";80.37;"A";994.06;"A";101;"A";22;"A";7;"A";1;"A";15;"A"
"2025-09-01 05:30";13.51;"A";9.7;"A";8.41;"A";29.6;"A";60.01;"A";99.81;"A";4163.4;"A";4173.87;"A";21.97;"A";80.9;"A";994.07;"A";102;"A";21;"A";6;"A";0;"A";15;"A"
"2025-09-01 05:45";14.01;"A";10.24;"A";8.93;"A";29.61;"A";60.06;"A";99.75;"A";4195.2;"A";4208.87;"A";21.97;"A";81.04;"A";994.11;"A";108;"A";22;"A";9;"A";0;"A";13;"A"
"2025-09-01 06:00";13.9;"A";10.15;"A";8.85;"A";29.88;"A";60.05;"A";99.84;"A";4195.6;"A";4209.13;"A";21.97;"A";82.24;"A";994.16;"A";113;"A";23;"A";9;"A";0;"A";14;"A"
"2025-09-01 06:15";14.65;"A";10.71;"A";9.35;"A";30.22;"A";60.02;"A";99.91;"A";4196.27;"A";4209;"A";22.11;"A";82.71;"A";994.29;"A";112;"A";24;"A";9;"A";0;"A";14;"A"
"2025-09-01 06:30";15.16;"A";11.1;"A";9.68;"A";30.28;"A";59.98;"A";99.96;"A";4196.67;"A";4209.67;"A";22.14;"A";82.49;"A";994.4;"A";121;"A";24;"A";10;"A";0;"A";14;"A"
"2025-09-01 06:45";16.18;"A";11.86;"A";10.35;"A";30.23;"A";60;"A";99.97;"A";4192.2;"A";4204.6;"A";22.19;"A";82.17;"A";994.45;"A";132;"A";25;"A";9;"A";0;"A";16;"A"
"2025-09-01 07:00";15.92;"A";11.66;"A";10.17;"A";30.28;"A";60;"A";99.97;"A";4196.87;"A";4209.8;"A";22.29;"A";82.01;"A";994.7;"A";170;"A";25;"A";11;"A";0;"A";14;"A"
"2025-09-01 07:15";16.04;"A";11.75;"A";10.25;"A";30.54;"A";60.03;"A";100;"A";4194.8;"A";4208.13;"A";22.46;"A";82.43;"A";994.78;"A";255;"A";25;"A";12;"A";1;"A";13;"A"
"2025-09-01 07:30";16.78;"A";12.3;"A";10.74;"A";30.68;"A";59.94;"A";99.96;"A";4194.47;"A";4207.33;"A";22.57;"A";82.05;"A";994.82;"A";343;"A";24;"A";9;"A";1;"A";15;"A"
"2025-09-01 07:45";16.46;"A";12.06;"A";10.53;"A";30.72;"A";60.06;"A";99.92;"A";4189.6;"A";4201.33;"A";22.67;"A";82.32;"A";994.88;"A";246;"A";27;"A";10;"A";0;"A";17;"A"
"2025-09-01 08:00";18.73;"A";13.76;"A";12.01;"A";30.99;"A";60;"A";99.95;"A";4196.67;"A";4209.27;"A";22.79;"A";82.68;"A";995.01;"A";279;"A";27;"A";10;"A";0;"A";17;"A"
